fname,label
weird-one.wav,Vermilion
sick-lick01.wav,Vermilion
sick-lick03.wav,Vermilion
sick-lick02.wav,Vermilion
short-sharp-blargh.wav,Vermilion
ive-lost-interest-now.wav,Vermilion
thank-you-and-goodnight.wav,Vermilion
reverse-echo01.wav,Vermilion
dead-flappy-string.wav,Vermilion
wobble-synth-guitar.wav,Vermilion
even-more-nonsensical.wav,Vermilion
A-sus-4th-thing.wav,Vermilion
dying-amp-e-chord.wav,Vermilion
xtreem-low-noise01.wav,Vermilion
dying-amp-driller.wav,Vermilion
crummy-riff.wav,Vermilion
ugly-synth-guitar.wav,Vermilion
wailer.wav,Vermilion
dying-amp-down.wav,Vermilion
nonsensical.wav,Vermilion
short-not-sweet.wav,Vermilion
dont-kill-the-wails.wav,Vermilion
tuneless-&-dumb.wav,Vermilion
very-floppy-synth-string.wav,Vermilion
dying-amp-ascending.wav,Vermilion
diddlededee.wav,Vermilion
arse-music.wav,Vermilion
weird-two.wav,Vermilion
dunng-eee.wav,Vermilion
no-whammys-here.wav,Vermilion
just-sick.wav,Vermilion
slow-wah-rythm01.wav,Vermilion
dying-amp01.wav,Vermilion
horror-noise.wav,Vermilion
stereo-sludge-loop.wav,Vermilion
dying-divebomb.wav,Vermilion
glock-run-down-blacks.wav,Piano
seventh-minor-baby.wav,Piano
fugged-up-piano-hit1.wav,Piano
glock-run-up-blacks.wav,Piano
one-loud-plucked-piano-note.wav,Piano
fugged-up-piano-hit2.wav,Piano
deep-harpsichord-rundown-blacks.wav,Piano
noisy-thick-chord-hit.wav,Piano
moody-rhodes.wav,Piano
rhodes-too-bad-hit.wav,Piano
electric-piano-mellow-c-chord.wav,Piano
uno-duo-stereo-epiano-chord.wav,Piano
electric-piano-mellow-d-chord.wav,Piano
one-vibratone-decay.wav,Piano
wobbly-swell-chord-D.wav,Piano
Kringarie-gong.wav,Gongs
garfo-bell-hit.wav,Gongs
big-boomy-gong.wav,Gongs
tonal-gong-noisy.wav,Gongs
reverse-ringing-swipe.wav,Gongs
bowls-reverb-clanging.wav,Bells
bowls-rolling-verby.wav,Bells
cheesy-chimes.wav,Bells
reverse-bell-crash.wav,Bells
one-tibetan-bowl-strike.wav,Bells
one-pretty-bell.wav,Bells
glass-bell-rubbing1.wav,Bells
bell-tower.wav,Bells
glass-bell-rubbing2.wav,Bells
tinkle-bright-bell.wav,Bells
ringing-tibetan-bowl.wav,Bells
jangly-low-bells.wav,Bells
tinkling-bells.wav,Bells
too-cute-bells.wav,Bells
wobble-bell.wav,Bells
one-round-bellhit.wav,Bells
phasing-bell-tree-riser.wav,Bells
sweden-ball-hit.wav,Bells
meditation-jangle-bell.wav,Bells
harmonic-bell-fx.wav,Bells
long-bright-tone-bell.wav,Bells
Ambiguous-Bell.wav,Bells
clear-bell-pling.wav,Cymbals
reverse-echo-cymbal.wav,Cymbals
cymbal-mallet-buildup.wav,Cymbals
nice-cymbal-mallet-role.wav,Cymbals
Pilu.wav,Far East Drones and Plucks
shamisen-pluck.wav,Far East Drones and Plucks
Bilaskhani-Todi.wav,Far East Drones and Plucks
Bhupal-Tori-Swar.wav,Far East Drones and Plucks
Lalit-2.wav,Far East Drones and Plucks
Lalit-1.wav,Far East Drones and Plucks
Tamboura-1-1.wav,Far East Drones and Plucks
tamboura-zia-loop.wav,Far East Drones and Plucks
Tambouras-Csharp2.wav,Far East Drones and Plucks
Puriya-1.wav,Far East Drones and Plucks
Tamboura-Ma.wav,Far East Drones and Plucks
Majorish.wav,Far East Drones and Plucks
Tamboura-1.wav,Far East Drones and Plucks
darbari-kanada2-xfade.wav,Far East Drones and Plucks
Lalit-Swaras-Dn.wav,Far East Drones and Plucks
Pilu-Swar.wav,Far East Drones and Plucks
Bhupal-Tori.wav,Far East Drones and Plucks
big-sitar.wav,Far East Drones and Plucks
Puriya-Swar.wav,Far East Drones and Plucks
shamisen-tremolo.wav,Far East Drones and Plucks
Patdip.wav,Far East Drones and Plucks
Lalit-Swaras-Up.wav,Far East Drones and Plucks
shamisen-strumdown.wav,Far East Drones and Plucks
shamisen-chord.wav,Far East Drones and Plucks
Bilas-Todi-Swar.wav,Far East Drones and Plucks
darbari-kanada-xfade.wav,Far East Drones and Plucks
Tamboura-Pa.wav,Far East Drones and Plucks
one-long-filtery-note.wav,Basses
descending-echo-bass.wav,Basses
distorted-baswave.wav,Basses
machine-brixton-bass.wav,Basses
voxy-bass-alarm.wav,Basses
dark-distorted-basshit.wav,Basses
fingered-bassnote-long.wav,Basses
dancehall-squirt-bass.wav,Basses
pro-one-bass.wav,Basses
ultra-deep-slime-bass.wav,Basses
double-acoustic-bassnote.wav,Basses
gnarly-subbass-exploration.wav,Basses
8bit-sub-fart.wav,Basses
synth-foghorn-bass-blart.wav,Basses
sickly-bassnote.wav,Basses
bass-radioactivity.wav,Basses
dirty-bass-tone.wav,Basses
dark-bass.wav,Basses
voxy-filter-bass-descends.wav,Basses
subblart-1.wav,Basses
subblart-3.wav,Basses
two-hit-sizzle-bass.wav,Basses
nasty-dropbassline.wav,Basses
subblart-2.wav,Basses
dubstep-harsh-bass.wav,Basses
disturbing-big-bass-hits.wav,Basses
bass-rolly-down.wav,Basses
fingered-bassnote-short.wav,Basses
intense-phasing-waving-filter-bass.wav,Basses
giant-bass-tension.wav,Basses
farty-asharp-hit.wav,Basses
bass-wobble-drop.wav,Basses
WahSquareBass.wav,Basses
hardedge-bass.wav,Basses
bass-radioactivity2.wav,Basses
bowowo-wowowow-bass.wav,Basses
gentle-blue-monster-bass.wav,Basses
bass-rolly-down-up.wav,Basses
rattle-acoustic-bassnote.wav,Basses
bandpass-zap-down.wav,Basses
dnb-dig-eko.wav,Basses
bassnote-emx8Bit.wav,Basses
HighMidBass.wav,Basses
big-fat-square-bass.wav,Basses
dubstep-alarm-bass.wav,Basses
harmonic-echobass-1.wav,Basses
two-part-harsh-bass-synth.wav,Basses
gnarly-overloaded-bass-for-sampling.wav,Basses
BassDistorted.wav,Basses
wavering-bass.wav,Basses
revolting-megabass.wav,Basses
harmonic-echobass-2.wav,Basses
nu_skool_bass.wav,Basses
big-wah-filter-synthnote.wav,Basses
strident-orient-cymbal.wav,Crashes
fancy-reverse-crash-fx.wav,Crashes
alloy-crash-long.wav,Crashes
alloy-crash-short.wav,Crashes
crash-17incher.wav,Crashes
ec-hat006.wav,Hats
ec-hat012.wav,Hats
ec-hat013.wav,Hats
ec-hat007.wav,Hats
ec-hat039.wav,Hats
ec-hat011.wav,Hats
ec-hat005.wav,Hats
ec-hat004.wav,Hats
ec-hat010.wav,Hats
ec-hat038.wav,Hats
super-long-cut-through-ohh.wav,Hats
ec-hat014.wav,Hats
ec-hat028.wav,Hats
ec-hat029.wav,Hats
ec-hat001.wav,Hats
ec-hat015.wav,Hats
OH_set2.wav,Hats
ec-hat003.wav,Hats
ec-hat017.wav,Hats
ec-hat016.wav,Hats
ec-hat002.wav,Hats
OH_set3.wav,Hats
ec-hat059.wav,Hats
ec-hat065.wav,Hats
ec-hat071.wav,Hats
ec-hat070.wav,Hats
ec-hat064.wav,Hats
ec-hat058.wav,Hats
ec-hat072.wav,Hats
ec-hat066.wav,Hats
ec-hat099.wav,Hats
flangy-metal-hat.wav,Hats
ec-hat098.wav,Hats
ec-hat067.wav,Hats
ec-hat073.wav,Hats
ec-hat077.wav,Hats
ec-hat063.wav,Hats
ec-hat088.wav,Hats
ec-hat089.wav,Hats
ec-hat062.wav,Hats
ec-hat076.wav,Hats
ec-hat100.wav,Hats
ec-hat060.wav,Hats
ec-hat074.wav,Hats
ec-hat048.wav,Hats
ec-hat049.wav,Hats
hihat-sizzler.wav,Hats
ec-hat075.wav,Hats
ec-hat061.wav,Hats
ec-hat078.wav,Hats
ec-hat044.wav,Hats
ec-hat050.wav,Hats
ec-hat087.wav,Hats
ec-hat093.wav,Hats
ec-hat092.wav,Hats
ec-hat086.wav,Hats
ec-hat051.wav,Hats
ec-hat045.wav,Hats
ec-hat079.wav,Hats
ec-hat053.wav,Hats
ec-hat047.wav,Hats
ec-hat090.wav,Hats
ec-hat084.wav,Hats
ec-hat085.wav,Hats
ec-hat091.wav,Hats
ec-hat046.wav,Hats
ec-hat052.wav,Hats
ec-hat056.wav,Hats
ec-hat042.wav,Hats
ec-hat095.wav,Hats
ec-hat081.wav,Hats
ec-hat080.wav,Hats
ec-hat094.wav,Hats
ec-hat043.wav,Hats
ec-hat057.wav,Hats
ec-hat041.wav,Hats
ec-hat055.wav,Hats
ec-hat069.wav,Hats
ec-hat082.wav,Hats
ec-hat096.wav,Hats
ec-hat097.wav,Hats
ec-hat083.wav,Hats
ec-hat068.wav,Hats
ec-hat054.wav,Hats
ec-hat040.wav,Hats
ec-hat027.wav,Hats
ec-hat033.wav,Hats
ec-hat032.wav,Hats
ec-hat026.wav,Hats
ec-hat018.wav,Hats
ec-hat030.wav,Hats
ec-hat024.wav,Hats
ec-hat025.wav,Hats
ec-hat031.wav,Hats
ec-hat019.wav,Hats
ec-hat035.wav,Hats
ec-hat021.wav,Hats
ec-hat009.wav,Hats
ec-hat008.wav,Hats
ec-hat020.wav,Hats
ec-hat034.wav,Hats
ec-hat022.wav,Hats
ec-hat036.wav,Hats
ec-hat037.wav,Hats
ec-hat023.wav,Hats
the-horn-of-cenarius.wav,World
jaw-harp-one-note.wav,World
barking-oscillating-didgeridoo.wav,World
rumble-tone.wav,Organs
noisy-akai-organ-chord.wav,Organs
looping-mellophone.wav,Organs
super-happy-harp-flutters.wav,Orchestral
pretty-strummy-bell-gliss.wav,Orchestral
Gm-strings.wav,Orchestral
minor-verby-string-hit.wav,Orchestral
crescendo-pseudo-orchestra.wav,Orchestral
african-pe-hi.wav,African and Eastern Percussion
verby-cajon-bass.wav,African and Eastern Percussion
african-pe-lo.wav,African and Eastern Percussion
verby-cajon-lo.wav,African and Eastern Percussion
verby-rattle.wav,African and Eastern Percussion
verby-cajon-high.wav,African and Eastern Percussion
african-pe-med.wav,African and Eastern Percussion
RS_set4.wav,Western and Latin Percussion
RS_set5.wav,Western and Latin Percussion
fairy-belltree.wav,Western and Latin Percussion
fx-bell-tree.wav,Western and Latin Percussion
RS_set3.wav,Western and Latin Percussion
Shaker.wav,Western and Latin Percussion
bell-tree-tinkles-1.wav,Western and Latin Percussion
bell-tree-tinkles-3.wav,Western and Latin Percussion
bell-tree-tinkles-2.wav,Western and Latin Percussion
curious-belltree.wav,Western and Latin Percussion
Rip-Off-Triangle1.wav,Western and Latin Percussion
FingerSnap03.wav,Western and Latin Percussion
